method,mse_mean,mse_var,mse_std,mse_50q,mse_90q,rsd,type,idx,n_nodes,patience,min_delta,perc_sent_weights,target_probability,models_folder,n_input_features,n_output_vars,merge_strategy,batch_size,epochs_per_update,stop_criterion,fixed_updates,num_merged_models,shuffle_batch,finetuning_epochs,serialize_optimizer
Centralized,1321.7725735377264,,1403.0990796941414,886.4274257976384,3185.40773310492,1.0615283656088763,classical,118,10,5,0.0,0.4,0.5,models/,9,1,simple_avg,64,1,fixed_updates,100,1,True,0,False
Gossip,4721.692413673815,,5559.509550991334,2497.847778625755,9748.96039227158,1.1774400075047746,generalized,118,10,5,0.0,0.4,0.5,models/,9,1,simple_avg,64,1,fixed_updates,100,1,True,0,False
Single,7543.945536215161,,9852.072322029177,3277.778082655868,23423.33272098965,1.305957509201745,generalized,118,10,5,0.0,0.4,0.5,models/,9,1,simple_avg,64,1,fixed_updates,100,1,True,0,False
Centralized,1324.37111229715,,701.9193510313539,1216.2716070224392,2360.7188007788,0.5300020096435505,generalized,118,10,5,0.0,0.4,0.5,models/,9,1,simple_avg,64,1,fixed_updates,100,1,True,0,False
Gossip,1325.4304059513277,,1460.8801203198502,876.4166347866578,3390.052881184676,1.1021930036917356,classical,81,10,5,0.0,1.0,0.5,models/,9,1,improved_overwrite,64,1,fixed_updates,100,1,True,0,False
Single,1509.578357949136,,2767.6362442233403,868.2042521717383,3216.730579669545,1.833383626394433,classical,81,10,5,0.0,1.0,0.5,models/,9,1,improved_overwrite,64,1,fixed_updates,100,1,True,0,False
Centralized,1321.7725735377264,,1403.0990796941414,886.4274257976384,3185.40773310492,1.0615283656088763,classical,81,10,5,0.0,1.0,0.5,models/,9,1,improved_overwrite,64,1,fixed_updates,100,1,True,0,False
Gossip,4148.604059676953,,5261.031543090927,2121.5808413839195,11428.563356786568,1.2681450115296369,generalized,81,10,5,0.0,1.0,0.5,models/,9,1,improved_overwrite,64,1,fixed_updates,100,1,True,0,False
Single,7543.945536215161,,9852.072322029177,3277.778082655868,23423.33272098965,1.305957509201745,generalized,81,10,5,0.0,1.0,0.5,models/,9,1,improved_overwrite,64,1,fixed_updates,100,1,True,0,False
Centralized,1324.37111229715,,701.9193510313539,1216.2716070224392,2360.7188007788,0.5300020096435505,generalized,81,10,5,0.0,1.0,0.5,models/,9,1,improved_overwrite,64,1,fixed_updates,100,1,True,0,False
Gossip,1288.4277661702392,,1416.776960347975,851.9721988727529,3197.0365153634243,1.0996169110506246,classical,167,10,5,0.0,0.2,1.0,models/,9,1,age_weighted,64,1,fixed_updates,100,3,True,0,False
Single,1509.578357949136,,2767.6362442233403,868.2042521717383,3216.730579669545,1.833383626394433,classical,167,10,5,0.0,0.2,1.0,models/,9,1,age_weighted,64,1,fixed_updates,100,3,True,0,False
Centralized,1321.7725735377264,,1403.0990796941414,886.4274257976384,3185.40773310492,1.0615283656088763,classical,167,10,5,0.0,0.2,1.0,models/,9,1,age_weighted,64,1,fixed_updates,100,3,True,0,False
Gossip,4165.713185265262,,4413.510941661493,2303.638377575849,10450.405249313855,1.0594850738338704,generalized,167,10,5,0.0,0.2,1.0,models/,9,1,age_weighted,64,1,fixed_updates,100,3,True,0,False
Single,7543.945536215161,,9852.072322029177,3277.778082655868,23423.33272098965,1.305957509201745,generalized,167,10,5,0.0,0.2,1.0,models/,9,1,age_weighted,64,1,fixed_updates,100,3,True,0,False
Centralized,1324.37111229715,,701.9193510313539,1216.2716070224392,2360.7188007788,0.5300020096435505,generalized,167,10,5,0.0,0.2,1.0,models/,9,1,age_weighted,64,1,fixed_updates,100,3,True,0,False
Gossip,1369.641359814101,,1605.6561852889506,887.73963156626,3354.369330995388,1.172318705027193,classical,124,10,5,0.0,1.0,0.25,models/,9,1,overwrite,64,1,fixed_updates,100,1,True,0,False
Single,1509.578357949136,,2767.6362442233403,868.2042521717383,3216.730579669545,1.833383626394433,classical,124,10,5,0.0,1.0,0.25,models/,9,1,overwrite,64,1,fixed_updates,100,1,True,0,False
Centralized,1321.7725735377264,,1403.0990796941414,886.4274257976384,3185.40773310492,1.0615283656088763,classical,124,10,5,0.0,1.0,0.25,models/,9,1,overwrite,64,1,fixed_updates,100,1,True,0,False
Gossip,3060.1716079879825,,3451.392574740226,1665.523176194464,7834.921232418135,1.1278428195762085,generalized,124,10,5,0.0,1.0,0.25,models/,9,1,overwrite,64,1,fixed_updates,100,1,True,0,False
Single,7543.945536215161,,9852.072322029177,3277.778082655868,23423.33272098965,1.305957509201745,generalized,124,10,5,0.0,1.0,0.25,models/,9,1,overwrite,64,1,fixed_updates,100,1,True,0,False
Centralized,1324.37111229715,,701.9193510313539,1216.2716070224392,2360.7188007788,0.5300020096435505,generalized,124,10,5,0.0,1.0,0.25,models/,9,1,overwrite,64,1,fixed_updates,100,1,True,0,False
Gossip,1309.2463001692006,,1453.6627117587234,863.5389033226359,3281.465040787968,1.1103049988156233,classical,84,10,5,0.0,1.0,0.5,models/,9,1,age_weighted,64,1,fixed_updates,100,1,True,0,False
Single,1509.578357949136,,2767.6362442233403,868.2042521717383,3216.730579669545,1.833383626394433,classical,84,10,5,0.0,1.0,0.5,models/,9,1,age_weighted,64,1,fixed_updates,100,1,True,0,False
